LOF折溢价研究(方向2, 研究版)
样本: 成交额前80只, 2005-04-29 ~ 2026-09-18

[R0] 折价率中位 -0.39% | 折价占比 46.4%

[R1] 横截面(月度) 深折价/中间/溢价 次月收益:
                deep       mid      prem        ls   n
date                                                  
2022-03-31  56  0.018145       4 -0.041521
2022-07-31  69  0.015944       3 -0.002126
2022-08-31  73 -0.066024       4 -0.054962
2023-01-31  72 -0.028888       4 -0.012712
2023-05-31  72  0.050566       3  0.023978
2024-01-31  75  0.127180      12  0.077856
2024-04-30  75  0.013230       3 -0.009798
2024-09-30  76  0.026485       4  0.019964
2024-12-31  77  0.033280      10  0.004738
2025-01-31  77  0.050379      12  0.016085
2025-02-28  77 -0.017403      23 -0.004204
2025-04-30  77  0.019363       5  0.010293
2025-07-31  78 -0.027335       3  0.121140
2025-08-31  78  0.025775       3  0.048669
2025-10-31  78 -0.031341       6 -0.015526
2026-01-31  79 -0.000158       8  0.000223
2026-03-31  79  0.191219       4  0.132222
2026-05-31  79  0.188051       7  0.047760
